Title,URL,Genre,Release Date,Plot,Box Office (Cr.),director,actors,writers,duration,rating,Box_office_adjusted
Daag: A Poem of Love,https://www.imdb.com/title/tt0150251/,Drama+Music+Romance,1973-04-27,Sunil is convicted of murder and is on the run. But the long arm of the law and his past finally catch up with him. Can he outrun his destiny for long?,,Yash Chopra,Rajesh Khanna+Sharmila Tagore+Rakhee Gulzar,Akhtar-Ul-Iman+Gulshan Nanda,PT2H26M,7.0,
Zanjeer,https://www.imdb.com/title/tt0070947/,Action+Crime+Drama,1973-05-11,"A tough and honest police officer clashes with a crime boss who, unbeknownst to him, happens to be his parents' murderer.",,Prakash Mehra,Amitabh Bachchan+Jaya Bachchan+Pran Sikand,Javed Akhtar+Salim Khan,PT2H25M,7.5,
Anamika,https://www.imdb.com/title/tt0069711/,Mystery+Romance+Musical,1973-05-18,"A writer rescues a young woman lying injured on the road. She awakens with amnesia, but insists that she is the writer's wife. Is she the victim or the perpetrator of a devious plot?",,Raghunath Jhalani,Sanjeev Kumar+Jaya Bachchan+Iftekhar,Shashi Bhushan+Madan Joshi+Surendra Prakash,PT2H5M,7.1,
Abhimaan,https://www.imdb.com/title/tt0069671/,Drama+Musical,1973-07-27,"A popular singer convinces his new wife to enter show-business, but his pride is wounded when she outshines him.",0.85,Hrishikesh Mukherjee,Amitabh Bachchan+Jaya Bachchan+Govardhan Asrani,Rajinder Singh Bedi+Biresh Chatterjee,PT2H2M,7.8,30.062077294685988
Jugnu,https://www.imdb.com/title/tt0070253/,Action+Drama+Thriller,1973-08-30,"A wealthy businessman moonlights as a philanthropist, robbin' the hood as it were.",0.5,Pramod Chakravorty,Dharmendra+Hema Malini+Pran Sikand,Sachin Bhowmick+Gulshan Nanda+Ahsan Rizvi,PT2H29M,6.7,17.683574879227052
Bobby,https://www.imdb.com/title/tt0069810/,Comedy+Drama+Musical,1973-09-28,"Raj, the son of strict, wealthy parents, falls in love with Bobby, the daughter of a poor Christian fisherman -- a romance his parents oppose.",5.5,Raj Kapoor,Dimple Kapadia+Rishi Kapoor+Pran Sikand,Khwaja Ahmad Abbas+Jainendra Jain+V.P. Sathe,PT2H48M,6.9,194.51932367149757
Saudagar,https://www.imdb.com/title/tt0070637/,Drama+Family,1973-10-26,A calculative man schemes to deceit a poor but young widow for his personal monetary gains.,,Sudhendu Roy,Nutan+Amitabh Bachchan+Trilok Kapoor,Narendranath Mitra+Sudhendu Roy+P.L. Santoshi,PT2H11M,7.4,
Procession of Memories,https://www.imdb.com/title/tt0070935/,Action+Drama+Musical,1973-11-02,"Three brothers are separated after their parents' murder. Years later, their only hope of avenging their parents and reuniting as a family lies in the song they learned as children.",,Nasir Hussain,Dharmendra+Vijay Arora+Tariq,,PT2H44M,7.3,
Namak Haraam,https://www.imdb.com/title/tt0070434/,Drama,1973-11-23,"Somnath (Somu) lives in a shanty house in a Delhi slum with his widowed mom, and unmarried sister, Sarla. He is friendly with Calcutta-based wealthy Vikram (Vicky) Maharaj. When Vicky's dad, Damodar, has a heart attack and is advised to take bed-rest for two months, Vicky fills in his father's shoes, has a confrontation with a senior employee and union leader, Bipinlal Pandey, which results in a strike. His father intervenes, asks Vicky to apologize to Bipinlal, which Vicky does, and everything returns to normal. Vicky confides about his humiliation with Somu, and both conspire to teach Bipinlal a lesson. As a result, Somu accompanies Vicky to Calcutta, gets a job as a laborer in his mill, befriends his fellow-workers, gets some monetary relief to injured workers, amongst other benefits, is elected as the union leader replacing Bipinlal. With Somu as the union leader and Vicky as the boss there is no stopping these two - until Damodar finds out and decides to put a stop to Vicky being influenced by Somu's middle-class ideas and ideals. Damodar starts a chain of events that get out of control, events that may well see the death of one of the friends at the hands of the other. Will Vicky's and Somu's friendship see them through or will it also be a casualty?",,Hrishikesh Mukherjee,Rajesh Khanna+Amitabh Bachchan+Simi Garewal,Biresh Chatterjee+Gulzar+D.N. Mukherjee,PT2H26M,7.2,
Khote Sikkay,https://www.imdb.com/title/tt0155805/,Action+Crime+Drama,1974-02-20,"Jhanga (Ajit) is a cruel, brutal, and heartless dacait, who has terrorized the entire countryside. The police are unable to capture him, as he has several hideouts and nearby villagers are afraid to give out any informaiton, fearing the reprisal of his wrath. A black cloaked horseback rider (Feroz Khan) is looking for Jhanga, to avenge the death of his dad, a judge (Satyen Kappu) who had convicted and sentenced Jhanga, however, whenever he comes close, Jhanga manages to escape. Then five men, all petty criminals, come to claim the reward for handing over Jhanga to the police. These five men do not trust the horseback rider, and will not have anything to do with him. While these men waste time who gets to Jhanga first, Jhanga is safe in his hideout, planning more attacks on the hapless community. Will Jhanga ever be apprehended?",,Narendra Bedi,Feroz Khan+Rehana Sultan+Danny Denzongpa,Narendra Bedi,PT2H12M,6.2,
Aap Ki Kasam,https://www.imdb.com/title/tt0175423/,Romance+Drama,1974-04-17,"Rajesh Khanna plays Mumtaz's jealous husband who begins to doubt her fidelity when his best friend Sanjeev Kumar enters their lives. She is unable to convince Rajesh Khanna that she loves only him. He leaves her, not knowing that she is pregnant with his child. Depressed and confused, Rajesh Khanna becomes a homeless wanderer, while Mumtaz remarries to provide a secure home for her child. Many years later, the truth dawns on him as he turns up, a broken man, at his own daughter's wedding.",1.6,J. Om Prakash,Rajesh Khanna+Mumtaz Askari+Sanjeev Kumar,Ram Kelkar+Ramesh Pant,PT2H33M,7.0,46.8544
36 Ghante,https://www.imdb.com/title/tt0071307/,Action+Crime+Drama,1974-07-01,"Three jailed convicts, Himmat, his brother Ajit, and Dilawar Khan break out of prison and take over the household of Editor Ashok Rai. The convicts will continue to hold the family hostage until their associate, Kamini contacts them in person.",,Raj Tilak,Raaj Kumar+Mala Sinha+Sunil Dutt,,PT2H9M,6.7,
Roti Kapada Aur Makaan,https://www.imdb.com/title/tt0072100/,Action+Drama+Thriller,1974-10-18,Bharat faces challenges in leading his family after taking the responsibilities following his father's death.,,Manoj Kumar,Manoj Kumar+Shashi Kapoor+Zeenat Aman,,PT2H39M,6.8,
Aandhi,https://www.imdb.com/title/tt0178186/,Drama+Romance,1975-02-13,"Hotel manager J.K. (Sanjeev Kumar) works there. One day, he bravely steps in to save Aarti, the drunken daughter of a politician (Suchitra Sen). Aarti and J.K. have a small ceremony to celebrate their marriage after falling in love. The married pair decides to separate after a few years because of several issues. Aarti and J.K. eventually cross paths again when she has achieved political success. Both of them sense a connection despite their distance, but Aarti is reluctant to speak up for fear of having her reputation ruined and endangering her profession. However, when the opposing party conducts a rally to disparage and humiliate Aarti Devi, When she gets there, she informs the populace and voters of her decision to leave her husband and family in order to serve this nation's citizens. The public respects her and is deeply moved by her voice and selflessness. J.K. arrives there as well and offers her support; she is overjoyed and moves on. She is elected and goes on to have a fulfilling life.",,Gulzar,Suchitra Sen+Sanjeev Kumar+Om Shivpuri,Kamleshwar+Gulzar+Bhushan Banmali,PT2H13M,7.9,
Julie,https://www.imdb.com/title/tt0187192/,Family+Musical+Romance,1975-03-18,"Julie is an Anglo-Indian girl with a loving, but alcoholic father and a domineering mother, a younger brother and sister. She falls in love with her best friend's brother Shashi Bhattacharya, a Hindu boy, and she has a passionate encounter with him, which leaves her pregnant. He goes away to college, not knowing about her condition. Her mother is distraught when Julie tells her about the pregnancy. They don't tell the rest of the family. Her mother thinks about getting Julie an abortion, but a devout Christian talks her out of it. Julie is sent away to have her baby in secret. The rest of the family is told that Julie got a job. When she comes back home, she runs into her Hindu boyfriend and tells him everything. He agrees to marry her, but his mother objects to the mixed marriage, not knowing about the baby born in secret. Julie's mother doesn't want the marriage either, as she and the rest of the family want to go to England.",9.17,K.S. Sethumadhavan,Lakshmi+Vikram Makandar+Nadira,Inder Raj Anand+Aluri Chakrapani+Pamman,PT2H25M,6.2,211.77782334384858
Chupke Chupke,https://www.imdb.com/title/tt0072783/,Comedy+Drama+Romance,1975-04-11,A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.,1.0,Hrishikesh Mukherjee,Dharmendra+Sharmila Tagore+Amitabh Bachchan,Upendranath Ganguly+D.N. Mukherjee+Gulzar,PT2H26M,8.3,23.094637223974765
Jai Santoshi Maa,https://www.imdb.com/title/tt0073191/,Drama+Fantasy,1975-05-30,"Sathyavati is a great devotee of Santoshi Maa. But when Narada decides to test her devotion, she faces several challenges in her life.",5.0,Vijay Sharma,Bharat Bhushan+Ashish Kumar+Kanan Kaushal,,PT2H25M,6.5,115.47318611987382
Mili,https://www.imdb.com/title/tt0073391/,Drama+Romance+Family,1975-06-20,"A reclusive, depressed man and a bubbly young woman fall in love but then find out that she has cancer.",,Hrishikesh Mukherjee,Jaya Bachchan+Amitabh Bachchan+Usha Kiran,Bimal Dutta+Rahi Masoom Reza+Mohini N. Sippy,PT2H30M,7.4,
Geet Gaata Chal,https://www.imdb.com/title/tt0165795/,Comedy+Drama+Family,1975-07-01,"Durga Babu, and his wife, Ganga, comes across Shyam, an orphan, who sings and dances on special occasions, and decide to take him home. Shyam meets with their daughter, Radha, and she slowly falls in love with him, but he thinks that she just wants to be friends. In his eyes, Shyam wants to be a free person, not tied down to anyone or anything, and would like to spend the rest of his life wondering, singing, and dancing. When he finds out that the family intend to get him married, he likens his plight to that of a caged bird, and flees, breaking Radha's heart. Will Shyam ever return? What impact will this have on the family?",,Hiren Nag,Sachin Pilgaonkar+Sarika Thakur+Urmila Bhatt,Vrajendra Gaur+Ravindra Jain,PT2H10M,7.5,
Sholay,https://www.imdb.com/title/tt0073707/,Action+Drama+Thriller,1975-08-15,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",,Ramesh Sippy,Sanjeev Kumar+Dharmendra+Amitabh Bachchan,,PT3H24M,8.1,
Nishant,https://www.imdb.com/title/tt0073458/,Crime+Drama,1975-09-06,"A man whose wife is abducted seeks to have the culprits prosecuted for their crime, but no one will help him. Meanwhile, the wife-abused and berated by her abductors-cannot bring herself to face her husband.",,Shyam Benegal,Girish Karnad+Shabana Azmi+Anant Nag,Vijay Tendulkar+Satyadev Dubey,PT2H20M,7.6,
Chhoti Si Baat,https://www.imdb.com/title/tt0072777/,Comedy+Romance,1976-01-09,A timid suitor seeks the help of a ruthless colonel to win the woman of his dreams when a bold young man begins to pursue her in this romantic comedy.,0.98,Basu Chatterjee,Ashok Kumar+Vidya Sinha+Amol Palekar,,PT2H3M,8.3,22.921980830670925
Nagin,https://www.imdb.com/title/tt0074949/,Fantasy+Thriller+Action,1976-01-19,While Hunting a group kills a Male Shape Shifting Snake so his lover Snake takes female form to kill each hunter one by one. One of the hunter recognizes this plot he sets out to stop Shape shifting Nagin.,,Rajkumar Kohli,Sunil Dutt+Feroz Khan+Vinod Mehra,Inder Raj Anand+Jaggi Rampal+Charandas Shokh,PT3H,6.1,
Dus Numbri,https://www.imdb.com/title/tt0359135/,Action+Comedy+Drama,1976-04-17,"A police officer framed for drug possession escapes jail while his wife is institutionalized. Years later, their son becomes a feared crime boss who falls for a thief, leading to dangerous consequences.",4.5,Madan Mohla,Manoj Kumar+Hema Malini+Premnath Malhotra,Dhruva Chatterjee+S. Ali Raza,PT2H35M,5.4,105.25399361022365
Sawan Ki Ghata,https://www.imdb.com/title/tt0176121/,Musical+Romance,1976-05-22,"Gopal and Seema are two small children who live in a small town in India. Gopal lives with Bansilal, whom he believes is his father; the much wealthier Seema lives with her dad Rana, who disapproves of her friendship with Gopal. He wants Basilal to send Gopal away, which he does. Years later, now-adult Gopal is curious to know what has happened back in the small town especially to Bansilal and Seema, so he goes back and meets with Seema and they rekindle their friendship, which turns into to love much to Rana's chagrin. Gopal is told that Bansilal is dead, but village belle Saloni, who is in love with Gopal, tells him that she has seen Bansilal's ghost. A practical Gopal must now use all his resources to find out the truth behind the ghost story, secure his land against a greedy Rana, and advocate his right to the estate that his father had left him from none other than his stepmother, who has schemed with her brother Kailash to ensure that Gopal continues to not only be deprived of his rightful heritage, but also lose Seema to Kailash.",,Shakti Samanta,Manoj Kumar+Sharmila Tagore+Mumtaz Askari,,PT2H16M,6.3,
Do Anjaane,https://www.imdb.com/title/tt0074417/,Drama,1976-11-26,A man (Amitabh Bachchan) is found wounded on railway tracks and when he awakens he has no memory of who he is and doesn't remember anything about his life. Six years later he is living with a wealthy couple and is now named Naresh Dutt. One day he begins to regain his memory when he watches a film and realizes that the actress in the film is related to him somehow. It is then that he discovers the actress in the film is none other than his wife Rekha Roy (Rekha). He finds out that she is now a very successful film actress changing her name to Sunita Devi and her manager is none other than Ranjeet Malik (Prem Chopra) who used to be his best friend. In flashbacks he remembers that his real name is Amit Roy and Ranjit was the one who attempted to kill him six years earlier by throwing him off the train he was traveling on with Rekha. Amit also discovers that his young son who is now 10 years old has been sent to a boarding school and sets out a plan to regain custody of his son. First however he plans on taking revenge against Ranjit. Amit comes up with a plan to re-enter Rekha and Ranjit's lives by disguising himself as a film producer. He meets with Rekha and Ranjit and offers Rekha the opportunity to act in his new film titled Do Anjaane. Rekha and Ranjit grow suspicious of Naresh Dutt as they start to realize that he bears a striking resemblance to Rekha's supposedly deceased husband Amit Roy and the storyline of his film eerily mirrors Rekha's past life. Will she discover the true identity of Naresh Dutt? and what revenge has Amit/Naresh got planned for Ranjit?,,Dulal Guha,Amitabh Bachchan+Rekha+Prem Chopra,Nabendu Ghosh+Nihar Ranjan Gupta+Shafiq Ansari,PT2H35M,6.7,
